iter	Passed	Remaining
846	3898	704
847	3903	699
848	3907	694
849	3912	690
850	3916	685
851	3921	681
852	3925	676
853	3930	671
854	3936	667
855	3940	662
856	3944	658
857	3948	653
858	3952	648
859	3957	644
860	3962	639
861	3966	635
862	3970	630
863	3975	625
864	3979	621
865	3983	616
866	3987	611
867	3992	607
868	3996	602
869	4000	597
870	4005	593
871	4010	588
872	4015	584
873	4019	579
874	4024	574
875	4028	570
876	4032	565
877	4036	560
878	4041	556
879	4046	551
880	4051	547
881	4055	542
882	4061	538
883	4065	533
884	4070	528
885	4074	524
886	4079	519
887	4083	515
888	4088	510
889	4092	505
890	4097	501
891	4101	496
892	4106	492
893	4110	487
894	4115	482
895	4119	478
896	4124	473
897	4128	468
898	4133	464
899	4137	459
900	4141	455
901	4146	450
902	4151	445
903	4155	441
904	4160	436
905	4165	432
906	4169	427
907	4174	422
908	4179	418
909	4183	413
910	4188	409
911	4192	404
912	4197	399
913	4202	395
914	4206	390
915	4211	386
916	4216	381
917	4220	376
918	4225	372
919	4230	367
920	4235	363
921	4240	358
922	4245	354
923	4250	349
924	4254	344
925	4261	340
926	4266	335
927	4270	331
928	4274	326
929	4278	322
930	4283	317
931	4287	312
932	4292	308
933	4296	303
934	4300	298
935	4304	294
936	4308	289
937	4313	285
938	4317	280
939	4322	275
940	4326	271
941	4330	266
942	4335	262
943	4339	257
944	4344	252
945	4348	248
946	4352	243
947	4357	239
948	4361	234
949	4366	229
950	4370	225
951	4378	220
952	4382	216
953	4386	211
954	4391	206
955	4396	202
956	4401	197
957	4405	193
958	4409	188
959	4414	183
960	4418	179
961	4423	174
962	4428	170
963	4432	165
964	4437	160
965	4442	156
966	4446	151
967	4451	147
968	4456	142
969	4460	137
970	4465	133
971	4469	128
972	4473	124
973	4478	119
974	4482	114
975	4487	110
976	4491	105
977	4495	101
978	4500	96
979	4504	91
980	4508	87
981	4513	82
982	4517	78
983	4522	73
984	4527	68
985	4531	64
986	4535	59
987	4540	55
988	4545	50
989	4549	45
990	4554	41
991	4558	36
992	4563	32
993	4568	27
994	4572	22
995	4577	18
996	4581	13
997	4586	9
998	4591	4
999	4595	0
