측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2019-06-22,9.0,6.0
2019-06-23,10.0,7.8
2019-06-24,20.0,13.8
2019-06-25,29.8,21.2
2019-06-26,32.0,23.8
2019-06-27,22.8,17.4
2019-06-28,39.0,33.2
2019-06-29,22.0,18.8
2019-06-30,33.6,28.6
2019-07-01,35.2,29.2
2019-07-02,30.0,24.0
2019-07-03,34.8,27.0
2019-07-04,31.6,22.6
2019-07-05,31.2,21.4
2019-07-06,27.4,21.4
2019-07-07,14.6,11.2
2019-07-08,8.6,5.8
2019-07-09,8.8,6.0
2019-07-10,8.6,6.0
2019-07-11,6.8,3.8
2019-07-12,13.4,9.4
2019-07-13,30.0,26.0
2019-07-14,43.0,37.8
2019-07-15,36.4,29.6
2019-07-16,31.0,23.6
2019-07-17,63.0,50.0
2019-07-18,67.2,53.8
2019-07-19,39.2,30.8
2019-07-20,6.6,4.0
2019-07-21,13.8,10.0
2019-07-22,45.2,34.2
2019-07-23,26.6,18.8
2019-07-24,18.6,13.25
2019-07-25,23.6,16.4
2019-07-26,21.4,14.8
2019-07-27,16.2,13.4
2019-07-28,12.2,9.4
2019-07-29,13.0,7.8
2019-07-30,16.0,10.4
2019-07-31,15.4,9.2
2019-08-01,12.0,7.6
2019-08-02,17.8,10.6
2019-08-03,18.6,12.6
2019-08-04,27.4,20.2
2019-08-05,37.0,27.8
2019-08-06,25.0,20.0
2019-08-07,21.2,13.8
2019-08-08,37.8,27.0
2019-08-09,26.6,18.0
2019-08-10,21.2,13.8
2019-08-11,15.2,10.8
2019-08-12,15.8,12.2
2019-08-13,19.6,11.2
2019-08-14,15.8,11.0
2019-08-15,7.8,4.8
2019-08-16,15.8,9.0
2019-08-17,30.8,20.2
2019-08-18,21.8,13.8
2019-08-19,23.6,16.6
2019-08-20,26.8,19.0
2019-08-21,32.6,23.8
2019-08-22,38.0,27.6
2019-08-23,30.4,18.8
2019-08-24,20.2,10.6
2019-08-25,19.6,13.4
2019-08-26,24.4,16.4
2019-08-27,24.6,18.4
2019-08-28,30.0,21.2
2019-08-29,27.5,20.4
2019-08-30,19.0,11.0
2019-08-31,18.8,11.2
2019-09-01,20.6,13.4
2019-09-02,26.4,14.0
2019-09-03,19.8,12.0
2019-09-04,8.2,4.2
2019-09-05,8.0,5.2
2019-09-06,13.6,8.0
2019-09-07,12.2,5.2
2019-09-08,33.6,21.8
2019-09-09,35.0,24.4
2019-09-10,13.4,9.8
2019-09-11,5.4,4.2
2019-09-12,10.4,5.4
2019-09-13,12.2,6.6
2019-09-14,17.8,12.4
2019-09-15,14.4,10.6
2019-09-16,12.0,6.2
2019-09-17,17.6,9.2
2019-09-18,31.6,13.6
2019-09-19,28.0,11.4
2019-09-20,22.8,10.4
2019-09-21,14.0,9.0
2019-09-22,5.333333333333333,4.666666666666667
2019-09-23,14.0,7.333333333333333
2019-09-24,32.333333333333336,15.333333333333334
2019-09-25,29.333333333333332,17.666666666666668
2019-09-26,23.333333333333332,16.0
2019-09-27,20.666666666666668,12.666666666666666
2019-09-28,26.333333333333332,19.0
2019-09-29,37.0,28.0
2019-09-30,47.333333333333336,33.0
2019-10-01,37.666666666666664,28.0
2019-10-02,22.333333333333332,16.666666666666668
2019-10-03,9.0,7.0
2019-10-04,22.666666666666668,17.666666666666668
2019-10-05,37.666666666666664,22.666666666666668
2019-10-06,11.666666666666666,6.333333333333333
2019-10-07,12.333333333333334,8.333333333333334
2019-10-08,25.333333333333332,11.666666666666666
2019-10-09,28.333333333333332,12.333333333333334
2019-10-10,33.333333333333336,15.666666666666666
2019-10-11,34.666666666666664,19.666666666666668
2019-10-12,25.333333333333332,12.666666666666666
2019-10-13,20.333333333333332,10.333333333333334
2019-10-14,36.333333333333336,17.0
2019-10-15,19.333333333333332,9.0
2019-10-16,24.333333333333332,13.666666666666666
2019-10-17,31.0,17.666666666666668
2019-10-18,18.0,10.0
2019-10-19,22.333333333333332,12.0
2019-10-20,38.0,24.333333333333332
2019-10-21,40.0,23.666666666666668
2019-10-22,35.333333333333336,22.0
2019-10-23,23.0,14.0
2019-10-24,28.666666666666668,15.666666666666666
2019-10-25,25.8,11.8
2019-10-26,25.4,13.0
2019-10-27,28.8,15.2
2019-10-28,34.2,19.2
2019-10-29,98.4,18.2
2019-10-30,29.2,11.2
2019-10-31,75.8,23.6
2019-11-01,102.0,35.0
2019-11-02,83.6,38.8
2019-11-03,62.0,34.2
2019-11-04,16.2,7.8
2019-11-05,37.0,20.4
2019-11-06,53.4,30.6
2019-11-07,54.4,23.0
2019-11-08,50.8,18.2
2019-11-09,50.2,23.0
2019-11-10,45.0,24.8
2019-11-11,28.0,14.25
2019-11-12,43.4,20.5
2019-11-13,37.2,18.25
2019-11-14,21.4,5.75
2019-11-15,24.0,12.2
2019-11-16,26.25,16.8
2019-11-17,25.25,13.2
2019-11-18,71.2,11.2
2019-11-19,31.0,8.2
2019-11-20,25.6,11.0
2019-11-21,37.6,17.2
2019-11-22,47.6,21.2
2019-11-23,37.2,17.8
2019-11-24,31.8,18.2
2019-11-25,28.0,15.2
2019-11-26,25.8,15.0
2019-11-27,41.6,20.4
2019-11-28,38.2,18.6
2019-11-29,47.8,23.6
2019-11-30,44.0,25.2
2019-12-01,40.2,26.5
2019-12-02,21.2,10.5
2019-12-03,27.6,15.2
2019-12-04,29.8,15.6
2019-12-05,19.2,10.0
2019-12-06,30.4,14.8
2019-12-07,42.25,27.25
2019-12-08,54.75,42.0
2019-12-09,64.25,46.75
2019-12-10,85.2,61.8
2019-12-11,77.6,50.8
2019-12-12,19.75,14.0
2019-12-13,28.6,16.6
2019-12-14,41.0,26.0
2019-12-15,37.8,24.0
2019-12-16,36.4,20.2
2019-12-17,28.4,18.4
2019-12-18,39.4,26.8
2019-12-19,28.8,17.8
2019-12-20,28.4,16.6
2019-12-21,37.2,23.6
2019-12-22,60.8,42.8
2019-12-23,54.8,41.4
2019-12-24,68.2,50.0
2019-12-25,50.8,35.8
2019-12-26,49.0,32.4
2019-12-27,35.6,23.4
2019-12-28,43.8,24.6
2019-12-29,45.2,26.2
2019-12-30,37.0,23.8
2019-12-31,24.4,13.8
2020-01-01,33.6,21.4
2020-01-02,57.6,37.2
2020-01-03,68.6,46.0
2020-01-04,55.6,36.4
2020-01-05,50.0,33.0
2020-01-06,39.0,25.6
2020-01-07,8.6,6.0
2020-01-08,26.6,20.0
2020-01-09,48.8,37.8
2020-01-10,63.0,46.6
2020-01-11,53.8,38.0
2020-01-12,46.0,32.8
2020-01-13,27.0,18.2
2020-01-14,30.6,19.2
2020-01-15,36.4,22.0
2020-01-16,43.8,27.0
2020-01-17,56.0,34.0
2020-01-18,62.8,37.8
2020-01-19,61.2,43.0
2020-01-20,51.8,28.0
2020-01-21,40.0,21.6
2020-01-22,44.2,25.2
2020-01-23,60.8,37.8
2020-01-24,70.4,47.4
2020-01-25,44.2,31.8
2020-01-26,23.2,16.2
2020-01-27,10.4,4.0
2020-01-28,12.8,4.6
2020-01-29,16.4,7.0
2020-01-30,16.2,8.2
2020-01-31,27.4,18.0
2020-02-01,69.4,50.8
2020-02-02,72.2,54.4
2020-02-03,24.8,14.8
2020-02-04,25.2,16.0
2020-02-05,22.0,9.6
2020-02-06,38.2,18.8
2020-02-07,37.6,23.0
2020-02-08,39.8,27.0
2020-02-09,36.8,24.4
2020-02-10,49.6,31.4
2020-02-11,56.2,33.6
2020-02-12,48.4,31.8
2020-02-13,71.8,52.4
2020-02-14,83.8,61.8
2020-02-15,59.8,44.4
2020-02-16,24.4,17.4
2020-02-17,29.6,16.4
2020-02-18,21.6,13.6
2020-02-19,32.2,22.4
2020-02-20,57.8,42.0
2020-02-21,61.8,45.8
2020-02-22,70.4,35.4
2020-02-23,23.2,11.4
2020-02-24,37.4,19.4
2020-02-25,19.4,11.0
2020-02-26,17.8,9.6
2020-02-27,12.2,6.6
2020-02-28,24.6,16.6
2020-02-29,24.8,16.6
2020-03-01,43.6,31.6
2020-03-02,38.2,28.2
2020-03-03,44.6,32.0
2020-03-04,44.8,33.6
2020-03-05,36.2,26.6
2020-03-06,39.4,25.8
2020-03-07,53.8,37.8
2020-03-08,58.0,43.2
2020-03-09,60.4,43.2
2020-03-10,33.2,24.0
2020-03-11,33.6,12.0
2020-03-12,33.4,13.2
2020-03-13,31.2,13.4
2020-03-14,38.4,19.2
2020-03-15,39.0,16.2
2020-03-16,22.6,11.2
2020-03-17,50.4,21.8
2020-03-18,58.4,33.2
2020-03-19,53.6,22.2
2020-03-20,39.6,8.6
2020-03-21,46.5,15.0
2020-03-22,38.5,16.0
2020-03-23,48.0,27.0
2020-03-24,56.0,33.2
2020-03-25,49.8,29.6
2020-03-26,49.6,30.4
2020-03-27,38.0,18.6
2020-03-28,31.2,7.0
2020-03-29,38.6,15.4
2020-03-30,49.4,26.0
2020-03-31,49.2,25.6
2020-04-01,69.4,32.0
2020-04-02,35.0,22.6
2020-04-03,52.8,29.2
2020-04-04,65.4,26.6
2020-04-05,45.6,20.8
2020-04-06,50.6,20.2
2020-04-07,56.6,25.0
2020-04-08,41.0,17.4
2020-04-09,44.4,22.4
2020-04-10,39.8,23.6
2020-04-11,37.4,21.8
2020-04-12,28.4,18.4
2020-04-13,20.2,9.8
2020-04-14,49.2,27.2
2020-04-15,62.2,36.8
2020-04-16,49.0,28.2
2020-04-17,34.8,18.8
2020-04-18,24.2,12.4
2020-04-19,23.2,14.8
2020-04-20,12.6,7.6
2020-04-21,36.0,9.6
2020-04-22,73.2,9.6
2020-04-23,40.8,11.8
2020-04-24,38.0,12.2
2020-04-25,55.8,22.4
2020-04-26,31.0,14.8
2020-04-27,32.6,16.4
2020-04-28,34.0,17.8
2020-04-29,45.6,25.8
2020-04-30,35.4,18.8
2020-05-01,48.2,29.4
2020-05-02,48.0,28.2
2020-05-03,27.0,16.8
2020-05-04,33.6,16.8
2020-05-05,34.8,17.8
2020-05-06,31.4,15.6
2020-05-07,23.8,10.4
2020-05-08,24.4,11.4
2020-05-09,12.0,7.8
2020-05-10,28.4,19.4
2020-05-11,100.2,27.8
2020-05-12,42.2,15.4
2020-05-13,29.6,9.8
2020-05-14,39.2,12.2
2020-05-15,28.0,11.2
2020-05-16,19.6,12.6
2020-05-17,40.2,26.8
2020-05-18,37.6,23.8
2020-05-19,13.6,6.6
2020-05-20,6.2,2.8
2020-05-21,17.2,8.6
2020-05-22,38.4,24.6
2020-05-23,46.2,31.4
2020-05-24,24.4,17.8
2020-05-25,34.0,23.0
2020-05-26,38.2,25.0
2020-05-27,20.4,12.0
2020-05-28,30.25,20.25
2020-05-29,34.0,21.2
2020-05-30,36.8,25.0
2020-05-31,39.4,29.4
2020-06-01,17.6,9.4
2020-06-02,23.2,12.4
2020-06-03,46.2,23.2
2020-06-04,48.6,23.6
2020-06-05,45.2,23.2
2020-06-06,52.0,31.2
2020-06-07,52.2,29.8
2020-06-08,42.2,24.0
2020-06-09,46.8,24.6
2020-06-10,43.6,25.0
2020-06-11,30.2,18.0
2020-06-12,45.0,22.6
2020-06-13,48.8,26.4
2020-06-14,37.2,22.6
2020-06-15,26.4,12.4
2020-06-16,53.4,37.4
2020-06-17,47.2,32.4
2020-06-18,33.8,21.8
2020-06-19,23.6,14.6
2020-06-20,37.8,24.4
2020-06-21,34.6,23.6
2020-06-22,39.8,24.2
2020-06-23,42.8,26.2
